2017-03.csv:2017-03-05 21:30,106178.05,83462.20,17.24%,4.15%,7.10,1.68,8.78,1655.89,450.68,21.39%,947217,1567,0,24.8%
2017-03.csv:2017-03-06 21:30,105369.00,83127.10,17.06%,4.05%,6.97,1.68,8.65,1649.24,441.28,21.11%,946734,1556,0,25.3%
2017-03.csv:2017-03-07 21:30,104375.43,82212.01,17.17%,4.07%,6.99,1.66,8.65,1631.09,439.72,21.23%,925466,1577,0,25.3%
2017-03.csv:2017-03-08 21:30,100024.70,78824.27,17.10%,4.10%,6.81,1.67,8.48,1563.87,420.62,21.20%,900684,1553,0,25.5%
2017-03.csv:2017-03-09 21:30,105250.11,82898.20,17.16%,4.07%,6.96,1.66,8.62,1644.70,443.46,21.24%,943371,1560,0,25.0%
2017-03.csv:2017-03-10 21:30,118909.42,94132.65,16.84%,4.00%,6.93,1.62,8.55,1867.59,491.57,20.84%,1073850,1548,0,23.9%
2017-03.csv:2017-03-11 21:30,123693.60,98000.87,16.83%,3.94%,7.01,1.64,8.65,1944.34,509.74,20.77%,1102459,1569,0,23.8%
2017-03.csv:2017-03-12 21:30,107938.61,85503.07,16.72%,4.06%,7.09,1.67,8.76,1696.38,445.12,20.79%,959138,1573,0,24.1%
2017-03.csv:2017-03-13 21:30,106008.54,83263.97,17.37%,4.08%,7.07,1.67,8.74,1651.96,451.25,21.46%,953244,1555,0,24.8%
2017-03.csv:2017-03-14 21:30,103225.91,81050.88,17.44%,4.04%,7.02,1.64,8.66,1608.05,439.95,21.48%,939217,1537,0,24.9%
2017-03.csv:2017-03-15 21:30,99838.29,78130.97,17.63%,4.11%,7.01,1.64,8.65,1550.12,430.67,21.74%,914155,1527,0,24.7%
2017-03.csv:2017-03-16 21:30,103987.61,81832.91,17.26%,4.05%,7.02,1.65,8.67,1623.56,439.55,21.31%,944841,1539,0,24.1%
2017-03.csv:2017-03-17 21:30,117453.54,92152.89,17.48%,4.06%,6.99,1.64,8.63,1828.31,501.96,21.54%,1075923,1526,0,23.4%
2017-03.csv:2017-03-18 21:30,124165.03,97543.93,17.46%,3.98%,7.06,1.61,8.67,1935.27,528.16,21.44%,1117926,1553,0,23.7%
2017-03.csv:2017-03-19 21:30,106019.30,83506.58,17.23%,4.00%,7.07,1.64,8.71,1656.77,446.65,21.23%,949714,1561,0,24.2%
2017-03.csv:2017-03-20 21:30,104847.52,82117.22,17.58%,4.10%,6.94,1.61,8.55,1629.21,450.97,21.68%,943850,1553,0,24.2%
2017-03.csv:2017-03-21 21:30,104252.01,81126.36,18.09%,4.09%,7.06,1.60,8.66,1609.55,458.81,22.18%,939902,1551,0,24.2%
2017-03.csv:2017-03-22 21:30,106987.27,83371.80,17.96%,4.11%,7.04,1.59,8.63,1654.10,468.53,22.07%,961040,1556,0,23.9%
2017-03.csv:2017-03-23 21:30,100081.64,77804.61,18.16%,4.10%,7.05,1.59,8.64,1543.64,441.98,22.26%,910667,1537,0,24.1%
2017-03.csv:2017-03-24 21:30,123203.16,96471.65,17.66%,4.04%,7.07,1.63,8.70,1914.00,530.35,21.70%,1116428,1543,0,23.4%
2017-03.csv:2017-03-25 21:30,124670.64,97219.01,17.99%,4.03%,7.11,1.62,8.73,1928.83,544.64,22.02%,1111696,1568,0,24.5%
2017-03.csv:2017-03-26 21:30,105230.82,82211.49,17.87%,4.01%,7.06,1.62,8.68,1631.08,456.70,21.88%,939911,1565,0,25.1%
2017-03.csv:2017-03-27 21:30,101964.73,79045.02,18.47%,4.01%,7.10,1.60,8.70,1568.25,454.73,22.48%,920789,1548,0,24.0%
2017-03.csv:2017-03-28 21:30,96759.00,74630.90,18.78%,4.09%,7.14,1.60,8.74,1480.68,439.02,22.87%,883549,1531,0,24.0%
2017-03.csv:2017-03-29 21:30,103283.98,80818.39,17.66%,4.09%,7.03,1.62,8.65,1603.44,445.72,21.75%,928311,1556,0,19.6%
2017-03.csv:2017-03-30 21:30,106382.27,84878.18,15.89%,4.32%,6.96,1.64,8.60,1683.98,426.64,20.21%,961240,1547,0,7.7%
2017-03.csv:2017-03-31 21:30,108030.01,84147.04,17.97%,4.14%,7.22,1.65,8.87,1669.48,473.84,22.11%,968976,1559,0,21.5%
